,click_agent,clicker_id,ip_address,link_id,time_clicked,user_id
0,Opera/9.79.(X11; Linux x86_64; it-IT) Presto/2.9.168 Version/10.00,5,10,4,2015-02-13 10:12:08,5
1,Opera/9.94.(X11; Linux i686; en-US) Presto/2.9.163 Version/12.00,4,10,1,2015-02-15 19:41:39,9
2,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_1 like Mac OS X; en-US) AppleWebKit/531.40.1 (KHTML, like Gecko) Version/4.0.5 Mobile/8B119 Safari/6531.40.1",8,10,9,2015-02-08 19:13:14,8
3,"Mozilla/5.0 (Windows; U; Windows NT 6.2) AppleWebKit/535.4.5 (KHTML, like Gecko) Version/5.1 Safari/535.4.5",7,10,4,2015-02-09 07:09:03,5
4,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_2 like Mac OS X; sl-SI) AppleWebKit/535.19.2 (KHTML, like Gecko) Version/4.0.5 Mobile/8B112 Safari/6535.19.2",4,10,5,2015-02-10 23:36:04,5
5,Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_8_8; rv:1.9.2.20) Gecko/2010-03-16 05:04:57 Firefox/3.6.13,8,10,8,2015-02-19 04:14:24,5
6,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/5350 (KHTML, like Gecko) Chrome/14.0.838.0 Safari/5350",1,10,2,2015-02-18 18:29:10,7
7,Opera/8.71.(X11; Linux i686; it-IT) Presto/2.9.181 Version/12.00,4,10,5,2015-02-14 20:08:38,8
8,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_4 rv:2.0; sl-SI) AppleWebKit/531.41.2 (KHTML, like Gecko) Version/4.0.5 Safari/531.41.2",8,10,7,2015-02-05 02:30:52,4
9,Mozilla/5.0 (compatible; MSIE 8.0; Windows 95; Trident/4.1),0,10,10,2015-02-06 20:23:46,6
10,"Mozilla/5.0 (Windows 98; Win 9x 4.90) AppleWebKit/5350 (KHTML, like Gecko) Chrome/15.0.864.0 Safari/5350",0,10,3,2015-01-31 11:55:21,4
11,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.5.20) Gecko/2015-02-04 14:02:32 Firefox/3.8,6,10,2,2015-02-12 00:31:32,5
12,Mozilla/5.0 (Windows NT 6.1; en-US; rv:1.9.1.20) Gecko/2014-01-28 17:20:22 Firefox/3.6.7,4,10,5,2015-02-12 10:37:03,4
13,Opera/8.97.(Windows NT 5.01; en-US) Presto/2.9.172 Version/11.00,0,10,2,2015-02-15 05:13:27,9
14,Mozilla/5.0 (compatible; MSIE 8.0; Windows 95; Trident/5.0),8,10,2,2015-02-09 10:19:23,8
15,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/5351 (KHTML, like Gecko) Chrome/14.0.826.0 Safari/5351",7,10,7,2015-02-05 09:40:39,8
16,Opera/9.81.(X11; Linux x86_64; sl-SI) Presto/2.9.178 Version/10.00,6,10,8,2015-02-17 22:27:04,1
17,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_2) AppleWebKit/5362 (KHTML, like Gecko) Chrome/15.0.896.0 Safari/5362",6,10,7,2015-01-31 06:28:02,8
18,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.5.20) Gecko/2012-05-10 08:20:45 Firefox/3.8,3,10,2,2015-02-04 23:42:51,2
19,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/5310 (KHTML, like Gecko) Chrome/13.0.866.0 Safari/5310",1,10,2,2015-02-17 06:12:50,10
20,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/5352 (KHTML, like Gecko) Chrome/14.0.802.0 Safari/5352",5,10,4,2015-02-23 05:37:53,6
21,Opera/9.39.(X11; Linux x86_64; sl-SI) Presto/2.9.160 Version/11.00,8,10,7,2015-01-29 13:34:49,10
22,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_7_3; rv:1.9.4.20) Gecko/2012-04-23 16:48:44 Firefox/12.0,4,10,1,2015-02-10 12:05:21,5
23,Mozilla/5.0 (Windows 98; Win 9x 4.90; sl-SI; rv:1.9.1.20) Gecko/2012-03-07 16:33:25 Firefox/3.6.20,6,10,8,2015-01-27 23:26:28,9
24,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_9; rv:1.9.5.20) Gecko/2011-05-21 03:00:29 Firefox/3.6.8,9,10,6,2015-02-16 20:07:49,7
25,Mozilla/5.0 (compatible; MSIE 7.0; Windows CE; Trident/4.1),4,10,7,2015-02-05 14:40:45,3
26,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_1 like Mac OS X; en-US) AppleWebKit/532.35.2 (KHTML, like Gecko) Version/3.0.5 Mobile/8B116 Safari/6532.35.2",0,10,4,2015-01-28 19:57:28,1
27,Mozilla/5.0 (Macintosh; PPC Mac OS X 10_5_9; rv:1.9.2.20) Gecko/2011-05-31 15:10:42 Firefox/3.8,7,10,1,2015-02-23 16:22:48,2
28,Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_7_3; rv:1.9.5.20) Gecko/2013-08-09 00:14:52 Firefox/11.0,4,10,4,2015-02-18 06:29:53,7
29,Opera/8.67.(Windows NT 5.01; it-IT) Presto/2.9.164 Version/11.00,9,10,4,2015-01-26 08:46:04,3
30,Mozilla/5.0 (Windows NT 5.0; en-US; rv:1.9.1.20) Gecko/2011-07-28 02:13:55 Firefox/3.8,8,10,6,2015-02-06 07:45:14,10
31,Opera/8.42.(X11; Linux i686; en-US) Presto/2.9.169 Version/12.00,2,10,3,2015-01-31 13:26:34,8
32,Opera/9.19.(X11; Linux x86_64; it-IT) Presto/2.9.164 Version/11.00,5,10,10,2015-02-09 06:44:34,7
33,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.5.20) Gecko/2012-04-02 16:08:56 Firefox/3.8,6,10,4,2015-01-29 15:56:48,5
34,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_7_1 rv:2.0; en-US) AppleWebKit/533.8.3 (KHTML, like Gecko) Version/5.0.2 Safari/533.8.3",4,10,8,2015-02-24 22:49:56,5
35,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/5340 (KHTML, like Gecko) Chrome/14.0.825.0 Safari/5340",6,10,2,2015-01-31 01:35:51,4
36,Opera/8.14.(X11; Linux i686; sl-SI) Presto/2.9.173 Version/10.00,2,10,4,2015-02-03 02:55:53,1
37,Opera/8.66.(X11; Linux i686; en-US) Presto/2.9.163 Version/10.00,1,10,3,2015-01-27 19:02:59,6
38,Opera/8.75.(Windows CE; en-US) Presto/2.9.180 Version/11.00,4,10,5,2015-02-10 19:19:37,2
39,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/5311 (KHTML, like Gecko) Chrome/13.0.875.0 Safari/5311",0,10,7,2015-02-06 08:07:08,5
40,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_1; rv:1.9.2.20) Gecko/2013-07-07 09:19:54 Firefox/7.0,4,10,4,2015-02-02 02:00:54,4
41,"Mozilla/5.0 (Windows 95) AppleWebKit/5322 (KHTML, like Gecko) Chrome/14.0.893.0 Safari/5322",6,10,3,2015-02-09 05:44:13,9
42,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_8_5 rv:3.0; en-US) AppleWebKit/531.17.2 (KHTML, like Gecko) Version/4.0 Safari/531.17.2",4,10,1,2015-02-05 02:12:25,8
43,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_0) AppleWebKit/5312 (KHTML, like Gecko) Chrome/14.0.823.0 Safari/5312",9,10,6,2015-02-15 08:24:30,3
44,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0),4,10,4,2015-01-28 06:25:26,9
45,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.2; Trident/5.0),6,10,8,2015-02-17 17:47:04,7
46,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 6.0; Trident/4.1),5,10,4,2015-02-18 03:37:05,7
47,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_8_5 rv:6.0; it-IT) AppleWebKit/531.13.4 (KHTML, like Gecko) Version/4.0.3 Safari/531.13.4",8,10,7,2015-02-24 01:19:38,4
48,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_5_4) AppleWebKit/5332 (KHTML, like Gecko) Chrome/14.0.832.0 Safari/5332",5,10,2,2015-02-21 23:38:00,10
49,"Mozilla/5.0 (Windows 98) AppleWebKit/5310 (KHTML, like Gecko) Chrome/13.0.895.0 Safari/5310",9,10,1,2015-02-05 18:02:21,9
50,Opera/9.27.(Windows NT 6.0; en-US) Presto/2.9.179 Version/10.00,5,10,8,2015-01-26 03:01:34,10
51,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.0; Trident/5.1),8,10,6,2015-02-09 00:26:19,2
52,Mozilla/5.0 (Windows 98; it-IT; rv:1.9.2.20) Gecko/2014-12-30 05:03:19 Firefox/10.0,9,10,9,2015-02-15 18:35:12,2
53,Opera/9.69.(Windows CE; en-US) Presto/2.9.179 Version/11.00,8,10,7,2015-02-03 04:27:33,3
54,"Mozilla/5.0 (Windows; U; Windows 98) AppleWebKit/531.14.2 (KHTML, like Gecko) Version/4.0.5 Safari/531.14.2",6,10,1,2015-01-29 20:14:16,4
55,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/5321 (KHTML, like Gecko) Chrome/14.0.867.0 Safari/5321",6,10,10,2015-02-24 12:07:04,9
56,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.0; Trident/4.0),6,10,9,2015-02-11 23:38:26,5
57,"Mozilla/5.0 (Windows CE) AppleWebKit/5310 (KHTML, like Gecko) Chrome/14.0.833.0 Safari/5310",1,10,5,2015-01-29 12:29:22,6
58,Mozilla/5.0 (Windows 95; sl-SI; rv:1.9.2.20) Gecko/2014-01-11 16:51:28 Firefox/3.8,9,10,3,2015-01-26 23:19:04,1
59,Opera/9.97.(Windows 95; sl-SI) Presto/2.9.174 Version/10.00,1,10,6,2015-01-30 21:42:22,5
60,"Mozilla/5.0 (Windows; U; Windows NT 5.0) AppleWebKit/533.50.4 (KHTML, like Gecko) Version/4.1 Safari/533.50.4",3,10,8,2015-02-07 15:39:54,10
61,Opera/8.77.(Windows NT 5.01; it-IT) Presto/2.9.176 Version/11.00,2,10,2,2015-02-12 05:33:48,6
62,Opera/8.51.(Windows NT 5.0; sl-SI) Presto/2.9.163 Version/11.00,3,10,3,2015-02-10 14:38:55,5
63,Opera/8.91.(Windows NT 6.2; sl-SI) Presto/2.9.182 Version/10.00,9,10,2,2015-02-20 01:19:12,6
64,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_1 rv:6.0; it-IT) AppleWebKit/534.21.5 (KHTML, like Gecko) Version/4.0.2 Safari/534.21.5",9,10,4,2015-02-03 16:43:29,5
65,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_1 like Mac OS X; sl-SI) AppleWebKit/532.42.5 (KHTML, like Gecko) Version/3.0.5 Mobile/8B117 Safari/6532.42.5",0,10,3,2015-02-16 11:16:32,7
66,Mozilla/5.0 (X11; Linux i686; rv:1.9.6.20) Gecko/2013-10-11 13:20:55 Firefox/3.6.11,8,10,10,2015-01-31 01:28:55,6
67,Mozilla/5.0 (Windows NT 5.1; en-US; rv:1.9.2.20) Gecko/2014-06-15 08:07:25 Firefox/3.8,7,10,7,2015-02-01 17:09:34,2
68,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_7; rv:1.9.4.20) Gecko/2012-03-11 20:38:23 Firefox/3.8,9,10,5,2015-01-31 01:31:22,5
69,Mozilla/5.0 (compatible; MSIE 9.0; Windows CE; Trident/3.0),1,10,7,2015-01-27 15:19:42,7
70,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_6 rv:3.0; sl-SI) AppleWebKit/533.43.6 (KHTML, like Gecko) Version/5.1 Safari/533.43.6",3,10,5,2015-02-03 08:26:11,8
71,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.01; Trident/4.0),6,10,3,2015-01-27 16:34:30,8
72,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.6.20) Gecko/2011-03-13 22:21:27 Firefox/3.6.6,2,10,8,2015-01-29 08:52:17,10
73,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.01; Trident/3.1),6,10,2,2015-02-10 11:10:31,5
74,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.7.20) Gecko/2011-03-04 23:30:05 Firefox/3.8,9,10,8,2015-02-15 18:41:46,3
75,"Mozilla/5.0 (Windows 98) AppleWebKit/5321 (KHTML, like Gecko) Chrome/13.0.889.0 Safari/5321",9,10,7,2015-02-05 01:59:27,3
76,Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_8_4; rv:1.9.5.20) Gecko/2010-12-17 05:10:08 Firefox/3.8,5,10,5,2015-02-07 14:54:19,9
77,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/5331 (KHTML, like Gecko) Chrome/15.0.833.0 Safari/5331",0,10,6,2015-02-02 07:52:55,4
78,Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_6_4; rv:1.9.3.20) Gecko/2011-07-13 07:58:02 Firefox/3.6.4,3,10,8,2015-02-01 00:49:22,3
79,Opera/8.92.(Windows 95; sl-SI) Presto/2.9.178 Version/10.00,7,10,8,2015-02-22 05:44:10,7
80,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.2; Trident/4.1),7,10,3,2015-01-31 19:34:04,6
81,Opera/9.83.(Windows NT 6.1; en-US) Presto/2.9.161 Version/12.00,9,10,6,2015-02-11 03:37:42,4
82,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/5362 (KHTML, like Gecko) Chrome/13.0.820.0 Safari/5362",6,10,8,2015-02-14 09:55:07,2
83,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_5_3) AppleWebKit/5312 (KHTML, like Gecko) Chrome/15.0.844.0 Safari/5312",2,10,10,2015-02-07 08:54:56,3
84,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_1 like Mac OS X; it-IT) AppleWebKit/534.2.3 (KHTML, like Gecko) Version/4.0.5 Mobile/8B116 Safari/6534.2.3",6,10,8,2015-02-07 21:49:16,2
85,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/5320 (KHTML, like Gecko) Chrome/13.0.858.0 Safari/5320",6,10,3,2015-01-29 19:31:03,7
86,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_0 like Mac OS X; it-IT) AppleWebKit/532.39.7 (KHTML, like Gecko) Version/3.0.5 Mobile/8B119 Safari/6532.39.7",2,10,10,2015-02-23 04:01:50,1
87,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.01; Trident/3.0),2,10,3,2015-02-01 10:10:31,5
88,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_1 like Mac OS X; it-IT) AppleWebKit/535.16.2 (KHTML, like Gecko) Version/3.0.5 Mobile/8B117 Safari/6535.16.2",2,10,2,2015-01-30 13:39:00,10
89,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_7_5) AppleWebKit/5340 (KHTML, like Gecko) Chrome/15.0.812.0 Safari/5340",7,10,6,2015-02-14 10:51:14,8
90,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_1 like Mac OS X; it-IT) AppleWebKit/532.49.3 (KHTML, like Gecko) Version/3.0.5 Mobile/8B113 Safari/6532.49.3",3,10,8,2015-01-28 05:32:00,3
91,Mozilla/5.0 (X11; Linux i686; rv:1.9.6.20) Gecko/2015-01-25 10:35:16 Firefox/13.0,2,10,8,2015-01-30 19:41:04,4
92,Mozilla/5.0 (compatible; MSIE 8.0; Windows 98; Trident/5.0),8,10,10,2015-02-16 07:38:18,9
93,Opera/9.40.(Windows 98; Win 9x 4.90; sl-SI) Presto/2.9.167 Version/11.00,3,10,9,2015-02-11 23:42:19,4
94,Mozilla/5.0 (X11; Linux i686; rv:1.9.5.20) Gecko/2014-10-12 20:34:25 Firefox/9.0,1,10,10,2015-02-12 08:56:48,2
95,Opera/8.62.(X11; Linux i686; en-US) Presto/2.9.180 Version/10.00,5,10,3,2015-02-19 15:52:31,5
96,Mozilla/5.0 (Windows NT 4.0; sl-SI; rv:1.9.0.20) Gecko/2012-02-15 18:01:04 Firefox/3.8,7,10,8,2015-02-08 18:02:00,6
97,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_2 like Mac OS X; sl-SI) AppleWebKit/534.15.5 (KHTML, like Gecko) Version/3.0.5 Mobile/8B112 Safari/6534.15.5",5,10,9,2015-01-31 14:48:57,5
98,Mozilla/5.0 (Windows NT 5.01; it-IT; rv:1.9.0.20) Gecko/2012-10-03 11:54:28 Firefox/3.6.3,9,10,1,2015-02-02 07:06:16,4
99,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.1; Trident/4.1),9,10,2,2015-01-29 00:40:34,7
